N|RUC|PROVEEDOR|MODALIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|DOMICILIO LEGAL|EMAIL|TELEFONO|ESTADOS CONTRATOS|FECHA ACTUALIZACION
1|10727606845|CONSORCIO DEL ORIENTE|PRODUCTOS|SAN MARTIN|MOYOBAMBA|SORITOR|220105|JIRON LIMA N° 440 MZ E-2 LOTE 3, SECTOR LA ESPERANZA, en el distrito de BAGUA GRANDE, provincia de UTCUBAMBA, departamento de AMAZONAS|TRANSPORTESJHONSANCHEZ@GMAIL.COM|996499316|ACTIVO|8/02/2024
2|20611313536|CONSORCIO SOAND|PRODUCTOS|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|010101|AV. EL MOLINO S/N CDRA 03, en el distrito de CHACHAPOYAS, provincia de CHACHAPOYAS, departamento de AMAZONAS|INDUSTRIASOANDSAC@GMAIL.COM|980035023|ACTIVO|8/02/2024
3|10167637316|CONSORCIO ALIMENTOS JOSAD |PRODUCTOS|AMAZONAS|BAGUA|BAGUA|010201|CENTRO POBLADO TOMAQUE - OTROS (ESPECIFICAR) SN - JIRON 28 DE JULIO N° 1 BLOCK 0 INTERIOR 0 PISO 1 MZA A LOTE A SECTOR EL TOMAQUE, en el distrito de BAGUA, provincia de BAGUA, departamento de AMAZONAS|CONSORCIOALIMENTOSBAGUA@GMAIL.COM|994683152|ACTIVO|8/02/2024
4|20610561331|CONSORCIO EZRA|PRODUCTOS|SAN MARTÍN|SAN MARTÍN|MORALES|220910|CENTRO POBLADO MORALES - OTROS (ESPECIFICAR) CENTRO - JIRON CALLAO N° 168, en el distrito de MORALES, provincia de SAN MARTIN, departamento de SAN MARTIN|EZRAINVERSIONES23@GMAIL.COM|999424043|ACTIVO|8/02/2024
5|10762736484|CONSORCIO AGROSELVA|PRODUCTOS|SAN MARTIN|RIOJA|RIOJA|220801|"AV. TUPAC AMARU Nª 880, en el distrito de RIOJA, provincia de RIOJA,departamento de SAN MARTIN"|ALFREDOSAUCEDOT@GMAIL.COM|918230748|ACTIVO|8/02/2024
6|20608503278|CONSORCIO OHDELIS|PRODUCTOS|ANCASH|HUARAZ|HUARAZ|020101|BAR.VILLON ALTO PRO.SIMON BOLIVAR 1865 , en el distrito de HUARAZ, provincia de HUARAZ, departamento de ANCASH|ALIMENTOSCORPORATIVOSOHDELIS@GMAIL.COM|987872858|ACTIVO|8/02/2024
7|20514050211|CONSORCIO IDP|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|URBANIZACIÓN BUENOS AIRES - AVENIDA CHIMBOTE INTERIOR A MZA B LOTE S/N, en el distrito de NUEVO CHIMBOTE, provincia de SANTA, departamento de ANCASH|INDUSTRIASDELPESCADOSAC@GMAIL.COM|926125407|ACTIVO|8/02/2024
8|20524209382|CONSORCIO MOVA|PRODUCTOS|LIMA|LIMA|SAN BORJA|150130|CALLE GOZZOLI SUR 344 DPTO 102, en el distrito de SAN BORJA, provincia de LIMA, departamento de LIMA|GRUPOMOVA2022@GMAIL.COM|953672860|ACTIVO|8/02/2024
9|20610868330|CONSORCIO CAMPER FOODS|PRODUCTOS|ANCASH|RECUAY|RECUAY|021701|VIA PATIVILCA HUARAZ KM 551, en el distrito de RECUAY, provincia de RECUAY, departamento de ANCASH|INVERSIONESCAMIAL@GMAIL.COM|943484907|ACTIVO|8/02/2024
10|10417050804|CONSORCIO SAN EXPEDITO|PRODUCTOS|JUNIN|CHANCHAMAYO|CHANCHAMAYO|120301|URBANIZACIÓN SAN CARLOS - CALLE MARÍA AUXILIADORA S/N, en el distrito de CHANCHAMAYO, provincia de CHANCHAMAYO, departamento de JUNIN,|CONSORCIOSANEXPEDITO2019@HOTMAIL.COM|941747996|ACTIVO|8/02/2024
